State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Housholds_with_Electric_Lighting,sex_ratio,literacy_rate
Karnataka,Chitradurga,14.29102220394736,76.57821957236843,566,1659456,5711,307257,97,65
Karnataka,Davanagere,14.330414586709884,75.91723841166937,567,1945497,7320,372671,97,67
Karnataka,Dharwad,15.343831376975173,75.13831264108359,562,1847023,15013,347962,97,70
Karnataka,Gadag,15.507128256880746,75.64861302752298,561,1064570,3373,198064,98,65
Karnataka,Gulbarga,17.070459515951594,76.87503850385033,579,2566326,9752,404767,97,55
Karnataka,Hassan,12.945098749999998,76.11049549999997,574,1776421,4851,400702,101,68
Karnataka,Haveri,14.737582809224318,75.3961230607966,564,1597668,2456,295937,95,67
Karnataka,Kodagu,12.39684468085106,75.79336595744688,576,554519,3308,113931,101,74
Karnataka,Kolar,13.312799881235172,78.01376947743476,581,1536401,5051,309494,97,66
Karnataka,Koppal,15.651253271028034,76.1617048598131,560,1389920,2135,223166,98,58
Karnataka,Mandya,12.574901806239744,76.81570098522172,573,1805769,3367,391033,99,63
Karnataka,Mysore,12.248100259403367,76.52881802853437,577,3001127,28397,640868,98,65
Karnataka,Raichur,16.050795353982295,76.87368606194688,559,1928812,5200,314547,99,50
Karnataka,Shimoga,14.063845885634592,75.17882078103197,568,1752753,8791,363835,99,72
Karnataka,Tumkur,13.592467760074973,77.02297966260545,571,2678980,7971,562769,98,67
Karnataka,Udupi,13.450404228534568,74.72009990316337,569,1177361,9070,224814,109,78
Kerala,Alappuzha,9.542602965599087,76.38010796263319,598,2127789,28842,507913,110,87
Kerala,Ernakulam,10.004879301987431,76.26957729035381,595,3282388,88737,771287,102,86
Kerala,Idukki,9.80480963855423,77.04586641566264,596,1108974,8250,244844,100,83
Kerala,Kannur,11.941523076923056,75.35209891725934,589,2523003,32653,511167,113,84
Kerala,Kasaragod,12.33310309912974,75.07768497134369,588,1307375,10378,237670,107,79
Kerala,Kollam,8.929388820570157,76.6360775852431,600,2635375,31542,630767,111,85
Kerala,Kottayam,9.643701174068417,76.46059673302705,597,1974551,37849,464039,103,88
Kerala,Kozhikode,11.392924270557026,75.71158720159153,591,3086293,36791,641660,109,84
Kerala,Malappuram,10.97329875666072,75.93910775606876,592,4112920,27909,730119,109,80
Kerala,Palakkad,10.784926903553291,76.49980490693744,593,2809934,27162,587583,106,79
Kerala,Thiruvananthapuram,8.537101759082221,76.88711502868073,601,3301427,71621,783872,108,84
Kerala,Thrissur,10.458932647907687,76.12321940836945,594,3121200,56148,721625,110,85
Kerala,Wayanad,11.715277464788736,76.07587007042254,590,817420,4712,149864,103,78
Madhya Pradesh,Anuppur,23.18184220430107,81.86560000000007,461,749237,1290,81338,97,58
Madhya Pradesh,Ashoknagar,24.63098846153845,77.82974493927134,459,845071,619,84720,90,55
Madhya Pradesh,Balaghat,21.80020720640569,80.42170053380796,457,1701698,1712,277927,102,67
Madhya Pradesh,Barwani,21.702135714285724,74.91004719710673,441,1385881,1158,181139,98,39
Madhya Pradesh,Betul,21.964626315789477,77.7873428189117,447,1575362,2109,230974,97,59
Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653,420,1703005,1166,107819,83,64
Madhya Pradesh,Bhopal,23.480726143790854,77.39246623093679,444,2371061,40788,452912,91,70
Madhya Pradesh,Burhanpur,21.364567254408065,76.24460478589425,467,757847,986,112420,95,53
Madhya Pradesh,Chhatarpur,24.813637376460004,79.56449299191374,425,1762375,1880,176056,88,53
Madhya Pradesh,Chhindwara,22.227966971713823,78.76413136439254,455,2090922,3588,344875,96,61
Madhya Pradesh,Damoh,23.76624407960196,79.47049303482588,428,1264219,1432,187731,91,59
Madhya Pradesh,Datia,25.90226439560441,78.63916571428574,422,786754,616,97696,87,62
Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157,437,1563715,3518,270457,94,59
Madhya Pradesh,Dhar,22.572681718963157,75.1105620736698,438,2185793,2388,349639,96,49
Madhya Pradesh,Dindori,22.83738437047757,81.04332966714911,453,704524,554,62372,100,53
Madhya Pradesh,Guna,24.49043927178156,77.2235895968791,458,1241519,2482,144248,91,52
Madhya Pradesh,Gwalior,26.04074441964285,78.12782433035713,421,2032036,15779,306859,86,66
Madhya Pradesh,Harda,22.227659781121783,77.07022571819435,448,570465,986,95066,93,61
Madhya Pradesh,Hoshangabad,22.595268801996703,78.02168094841929,449,1241350,2871,198076,91,65
Madhya Pradesh,Indore,22.680265752128648,75.9133801324502,439,3276697,48691,593576,92,70
Madhya Pradesh,Jabalpur,23.18525572327043,79.98328754716981,451,2463289,20443,452023,92,71
Madhya Pradesh,Jhabua,22.419578015397768,74.40921616766468,464,1025048,744,125411,99,34
Madhya Pradesh,Katni,23.724416229116937,80.33819665871127,450,1292042,2179,172416,95,61
Madhya Pradesh,Mandla,22.70348712446353,80.38600543633753,454,1054905,912,143803,100,57
Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759,433,1340411,2324,239885,96,62
Madhya Pradesh,Morena,26.37313504531724,77.88447341389724,419,1965970,1781,131486,84,60
Madhya Pradesh,Neemuch,24.70311893333336,75.06608186666664,432,826067,1945,145258,95,61
Madhya Pradesh,Panna,24.451325840092657,80.21133001158752,426,1016520,653,76097,90,54
Madhya Pradesh,Raisen,23.292518206521724,78.16305495923909,446,1331597,1141,194373,90,61
Madhya Pradesh,Rajgarh,23.785499026425583,76.66431223922116,442,1545814,1611,231130,95,52
Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909,434,1455069,3644,213825,97,56
Madhya Pradesh,Rewa,24.861184625158856,81.57572465057183,430,2365106,3406,251132,93,60
Madhya Pradesh,Sagar,23.800318709677374,78.71940357771273,427,2378458,4546,366494,89,64
Madhya Pradesh,Satna,24.62777621776502,80.75547048710598,429,2228935,3754,294702,92,61
Madhya Pradesh,Sehore,22.9297199679658,77.06780202883085,445,1311332,1566,212138,91,59
Madhya Pradesh,Seoni,22.33230487804874,79.66053863928111,456,1379131,1182,228695,98,62
Madhya Pradesh,Shahdol,23.44859864559819,81.4596831828442,460,1066063,1733,113184,97,56
Madhya Pradesh,Shajapur,23.566620317220547,76.33555181268885,436,1512681,1382,232735,93,59
Madhya Pradesh,Sheopur,25.78014810996563,77.16911116838484,418,687861,273,74770,90,47
Madhya Pradesh,Shivpuri,25.37802451874367,77.74861600810549,423,1726050,1852,148128,87,52
Madhya Pradesh,Sidhi,24.17547189952905,82.1053783359498,462,1127033,837,102228,95,53
Madhya Pradesh,Tikamgarh,25.14099852104666,78.89357064846428,424,1445166,1090,132725,90,51
Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058,435,1986864,7501,323379,95,62
