State,District,Latitude,Longitude,District Code,Population,Male,Female,Literate,Male Literate,Female Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others Religions,Religion Not Stated,Households,Below Primary Education,Primary Education,Middle Education,Secondary Education,Higher Education,Graduate Education,Other Education,Literate Education,Illiterate Education,Total Education,Age Group 0 29,Age Group 30 49,Age Group 50,Age Not Stated,Total Power Parity,Sex Ratio,Literacy Rate
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,636342,329743,306599,328676,196431,132245,596102,37653,313,75,41,43,31,2084,132638,129673,110525,59529,52860,33856,19676,3399,409518,305609,715127,413475,136898,85045,924,565,92,51
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,656246,346673,309573,283698,171645,112053,552492,99342,522,216,73,52,44,3505,166000,128209,91277,37063,25657,16031,10091,661,308989,348078,657067,421241,139909,93398,1698,489,89,43
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3423574,1803252,1620322,1436794,885188,551606,2672311,740101,2897,261,253,188,20,7543,856964,733380,394422,196321,136500,92783,70549,11936,1635891,1852765,3488656,2206340,739982,449035,28217,2679,89,41
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3330464,1675090,1655374,1930175,1115906,814269,2712635,608282,2618,369,407,359,86,5708,674372,689880,612635,445257,355277,186817,119164,12091,2421121,1207119,3628240,2115448,713597,498299,3120,3014,98,57
Bihar,Supaul,26.28157893772896,86.78496465201461,208,2229076,1155283,1073793,1033283,647672,385611,1809936,409251,3758,271,136,546,42,5136,600102,467768,269737,157787,99530,69665,45726,5850,1116063,1220268,2336331,1453438,495020,277610,3008,1836,92,46
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,1844535,1650486,1926740,1152576,774164,3152346,333980,2203,707,362,246,71,5106,750811,810191,487594,370247,291392,178320,124448,9094,2271286,1479152,3750438,2176701,759132,486032,73156,2930,89,55
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,1055450,580663,474787,805438,465346,340092,852574,51447,8720,138329,1160,1960,246,1014,298367,80406,118667,114209,124707,98786,174528,20188,731491,184265,915756,602411,303748,148945,346,34145,81,76
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,698487,714712,650863,382335,268528,1277975,12413,27951,2099,985,3466,86925,1385,371319,183667,178766,139330,60936,57413,32895,3227,656234,729550,1385784,864272,358157,189569,1201,1529,102,46
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,381956,192764,189192,287620,155599,132021,371973,6984,236,2387,113,10,7,246,164445,35817,59489,53515,64730,45695,25474,3241,287961,65864,353825,193671,107367,80497,421,3666,98,75
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,2663629,1351574,1312055,1596560,932474,664086,2540763,57973,20745,6373,2979,2357,29122,3317,737806,382091,407692,337793,189296,152838,134637,19654,1624001,943112,2567113,1625484,655032,380114,2999,2981,97,59
